ham,خواهش می کنم
ham,💋💋💋
ham,مشترک گرامی با مراجعه به سایت www mobilecount cra ir میتوانید از تعداد خطوط تلفن همراه بنام خود مطلع گردید  شرکت مخابرات استان فارس
ham,💋💋😉😉
ham,سلام خانم دکتر من امروز واستان نصب کردم  اگر خواستید پیامکهای تبلیغی بفرستید می توانید از این طریق ارسال کنید  ممنون
ham,سلام آقای مهندس  ممنونم که اطلاع دادید  چشم، حتما  بقیه پیامکها رو اینجا براتون میفرستم
ham,منظورم واتساپ بود 
ham,بله، متوجه شدم
ham,😊
ham,ببخشید فقط بخاطر این بود که نمی خواستم هزینه ای اضافی بر شما تحمیل بشه  باز متشکرم 
ham,خواهش میکنم  ممنونم، لطف دارین
ham,ممنون خانم دکتر 
ham,خواهش میکنم  کاری نکردم
ham,سلام خانم دکتر ممنون میشم اگه به حریم خصوصی کسی آسیب نمیرسونه برای غنای بیشتر محتوایی تعدادی هم پیامک غیر تبلیغاتی ارسال کنید  باز از لطف شما متشکرم
ham,سلام  وقتتون بخیر  باشه، چشم، حتما
ham,سلام استاد    بی زحمت موضوعات رو ممکنه الان بفرستید برام     چون الان اینترنت دستمه
ham,سلام آقای مهندس  من موضوعات رو براتون ایمیل کردم  هر وقت به اینترنت دسترسی داشتین، لطفا ایمیلتون رو چک بفرمایید  متشکرم
ham,سلام استاد متاسفانه ایمیلتون به دستم نرسیده   اگه ممکنه به هر دو تا ایمیلم مجددا ارسال کنید   هم یاهو هم جی میل   ممنونم
ham,خب من امروز بیرون کار دارم در تمام نقاط شهر اگه مسئله ای نیست شما آدرس بدید من بیام خدمتتون  چون امانتی باید زودتر برسه به دستتون 
ham,سلام آقای مهندس  وقتتون بخیر  برنامه من منوط به برنامه پزشک و آزمایشگاه مادرم هست  هر زمانی که شد، خودم مزاحمتون میشم  آدرس بدید میرسم خدمتتون  دیگه بیشتر از این شرمنده تون نشم
ham,سلام  وقتتون بخیر  کامنتها رو براتون فرستادم  تا جاییکه می توانید لطفا آنها را اعمال کنید  لطفا موارد هایلایت شده را تغییر ندهید  متشکرم 
ham,سلام خوبي؟ استاد فرم هاي بچه هايي كه شما مسئول كارآموزيشون هستيد رو دادن به من  هر وقت تشريف آورديد تهران بگيد كه من براتون بيارم
ham,سلام  از شنیدن خبر فوت یکی از فامیلهاتون خیلی ناراحت شدم  خدا به شما و خانواده اش صبر بده و ایشون رو رحمت کنه
ham,سلام ممنون سلامت باشی خدارفتگانتونوبیامرزه والا اتفاق خیلی تلخ وغم انگیزی بود همه روشوکه کرد '(
ham,روز دختر را تبریک می گویم  آرزومندم شرایط جامعه و رفتار مردم به گونه ای باشد که  دختران ما به دلیل دختر بودن از آن چه که شایسته آن هستند، محروم نشوند 
ham,ممنون عالیه
ham,خواهش میکنم
ham, نوبت شما براي دکترمهرداد شمشيري ثبت شد  تاريخ مراجعه 1396/04/21  ساعت حضور پزشک  0800 ساعت حضور شما الزاما یک ساعت قبل از حضور پزشک با کارت شناسایی معتبر، در غیر این صورت نوبت باطل است بيمارستان دكتر خدادوست
ham,دکتر بسیار سپاسگذارم 
ham,خواهش میکنم
ham,سلام خیلی ممنون دست شما درد نکنه، بسیار مفید بود  جسارتا من شماره شما رو ذخیره ندارم ممنون می‌شم خودتون رو هم معرفی نمایید  باز از لطف شما متشکرم 
ham,سلام جناب مهندس، مژده رحمانیان هستم   شرمنده که فراموش کرده بودم براتون بفرستم    این شماره روی تبلتم هست و از زیاد خطش استفاده نمیکنم  ولی پیامک تبلیغاتی زیاد داره!
ham,سلام خانم مهندس، ببخشید بجا نیاوردم  از لطف شما بسیار سپاسگذارم  خیلی عالی بود  ممنون می‌شم اگه به حریم خصوصی کسی آسیب نمیرسونه برای غنای بیشتر محتوایی پیامک‌هایی هم که تبلیغاتی نیستند برای من ارسال نمایید  باز از لطف شما متشکرم 
ham,خواهش میکنم    حتما براتون میفرستم 
ham,موفق باشید 
ham,لطفا هر زمانی که نیاز نیست بفرمایید تا مثل این پیامهای مزاحم من هم مزاحم شما نشم😅
ham,سلام خیلی از لطف شما متشکرم   چون ارسال این پیامک ها برای من برای شما هزینه دارد  فعلا کافیه  دارم یه اپ می نویسم که کار راحتتر بشه  باز از لطف شما متشکر 
ham,سلام آقای مهندس  وقتتون بخیر  ببخشید الان پیامکتون رو دیدم  خواهش میکنم  هزینه اش که زیاد نیست  منم چندتا پیامک بیشتر براتون نفرستادم  کلا قابل شما رو نداره
ham,سلام ارسال کردم 
ham,مرسی
ham,سلام استاد بیدارین؟
ham,سلام ب یاری خدا فیچرها تموم شد
ham,سلام استاد فردا میتونید توی اسکایپ الگوریتم رو توضیح بدین من این هفته کار رو تموم کنم؟
ham,سلام من تا آخر شب فردا به اینترنت دسترسی ندارم
ham,سلام استاد فردا میتونید برا الگوریتم توضیحات بدین
